  1    Pup, 31Eta CMa
 31Eta CMa,   Pi  Pup
   Pi  Pup,   Nu  Pup
   Nu  Pup,   Tau Pup
   Tau Pup,   Sig Pup
   Sig Pup,   Sig Pup
   Sig Pup,   Zet Pup
   Zet Pup, 15Rho Pup
 15Rho Pup, 12    Pup
   Bet Pyx,   Alp Pyx
   Alp Pyx,   Gam Pyx
   Bet Ret,   The Ret
   The Ret,   Eps Ret
   Eps Ret,   Iot Ret
   Iot Ret,   Gam Ret
   Gam Ret,   Bet Ret
 16Eta Sge, 12Gam Sge
 12Gam Sge,  7Del Sge
  7Del Sge,  6Bet Sge
  7Del Sge,  5Alp Sge
   Bet1Sgr,   Iot Sgr
   Iot Sgr,   Alp Sgr
   Iot Sgr,   The1Sgr
   The1Sgr,   The1Sgr
   The1Sgr, 62    Sgr
 62    Sgr, 59    Sgr
 59    Sgr, 51    Sgr
 51    Sgr, 42Psi Sgr
 42Psi Sgr, 38Zet Sgr
 38Zet Sgr, 38Zet Sgr
 38Zet Sgr, 27Phi Sgr
 27Phi Sgr, 34Sig Sgr
 34Sig Sgr, 38Zet Sgr
 34Sig Sgr, 39Omi Sgr
 39Omi Sgr, 41Pi  Sgr
 41Pi  Sgr, 45Rho2Sgr
 45Rho2Sgr, 45Rho2Sgr
 39Omi Sgr, 37Xi 2Sgr
 27Phi Sgr, 22Lam Sgr
 22Lam Sgr, 13Mu  Sgr
 22Lam Sgr, 18    Sgr
 18    Sgr, 20Eps Sgr
 20Eps Sgr,   Eta Sgr
 18    Sgr, 10Gam2Sgr
 10Gam2Sgr,  3    Sgr
  9Ome1Sco,  9Ome1Sco
  9Ome1Sco, 14Nu  Sco
 14Nu  Sco,   Xi  Sco
   Xi  Sco,  9Ome1Sco
  9Ome1Sco,  7Del Sco
  7Del Sco,  6Pi  Sco
  6Pi  Sco,  5Rho Sco
  7Del Sco, 20Sig Sco
 20Sig Sco, 21Alp Sco
 21Alp Sco, 23Tau Sco
 23Tau Sco, 26Eps Sco
 26Eps Sco, 26Eps Sco
 26Eps Sco, 26Eps Sco
 26Eps Sco, 26Eps Sco
 26Eps Sco,   Mu 1Sco
   Mu 1Sco,   Zet2Sco
   Zet2Sco,   Eta Sco
   Eta Sco,   The Sco
   The Sco,   Iot1Sco
   Iot1Sco,   Kap Sco
   Kap Sco, 35Lam Sco
   Iot1Sco,   Kap Sco
   Alp Scl,   Iot Scl
   Iot Scl,   Del Scl
   Del Scl,   Gam Scl
   Gam Scl,   Bet Scl
   Bet Sct,   Alp Sct
   Alp Sct,   Gam Sct
   Alp Sct,   Zet Sct
 36    Ser, 34Ome Ser
 34Ome Ser, 37Eps Ser
 37Eps Ser, 24Alp Ser
 24Alp Ser, 13Del Ser
 13Del Ser, 28Bet Ser
 28Bet Ser, 41Gam Ser
 41Gam Ser, 35Kap Ser
 35Kap Ser, 28Bet Ser
 29Del Sex, 15Alp Sex
 15Alp Sex,  8Gam Sex
112Bet Tau, 94Tau Tau
 94Tau Tau, 74Eps Tau
 74Eps Tau, 68Del3Tau
 68Del3Tau, 61Del1Tau
 61Del1Tau, 54Gam Tau
 54Gam Tau, 78The2Tau
 78The2Tau, 87Alp Tau
 87Alp Tau,123Zet Tau
 54Gam Tau, 35Lam Tau
 35Lam Tau,  5    Tau
  5    Tau,  2Xi  Tau
  2Xi  Tau,  1Omi Tau
 35Lam Tau, 49Mu  Tau
 49Mu  Tau, 38Nu  Tau
   Eps Tel,   Alp Tel
   Alp Tel,   Zet Tel
  2Alp Tri,  3Eps Tri
  3Eps Tri,  4Bet Tri
  4Bet Tri,  9Gam Tri
  9Gam Tri,  2Alp Tri
   Alp TrA,   Bet TrA
   Bet TrA,   Eps TrA
   Eps TrA,   Gam TrA
   Gam TrA,   Alp TrA
   Del Tuc,   Alp Tuc
   Alp Tuc,   Gam Tuc
   Gam Tuc,   Eps Tuc
   Eps Tuc,   Zet Tuc
   Zet Tuc,   Bet3Tuc
   Bet3Tuc,   Gam Tuc
 85Eta UMa, 79Zet UMa
 79Zet UMa, 77Eps UMa
 69Del UMa, 64Gam UMa
 64Gam UMa, 48Bet UMa
 48Bet UMa, 50Alp UMa
 64Gam UMa, 63Chi UMa
 63Chi UMa, 53Xi  UMa
 63Chi UMa, 52Psi UMa
 52Psi UMa, 33Lam UMa
 52Psi UMa, 34Mu  UMa
 50Alp UMa, 23    UMa
 23    UMa,  1Omi UMa
 48Bet UMa, 30Phi UMa
 30Phi UMa, 29Ups UMa
 30Phi UMa, 25The UMa
 25The UMa,  9Iot UMa
  9Iot UMa, 12Kap UMa
 12Kap UMa, 25The UMa
 23Del UMi, 22Eps UMi
 22Eps UMi, 16Zet UMi
 16Zet UMi,  7Bet UMi
  7Bet UMi, 13Gam UMi
 13Gam UMi, 21Eta UMi
 21Eta UMi, 16Zet UMi
   Mu  Vel,   Mu  Vel
   Mu  Vel,   Eta Ant
   Eta Ant,   Psi Vel
   Psi Vel,   Lam Vel
   Lam Vel,   Lam Vel
   Lam Vel,   Lam Vel
   Lam Vel,   Gam2Vel
   Gam2Vel,   Del Vel
   Del Vel,   Kap Vel
   Kap Vel,   Phi Vel
   Phi Vel,   Mu  Vel
  9Omi Vir,  3Nu  Vir
  3Nu  Vir,  5Bet Vir
  5Bet Vir, 15Eta Vir
 29Gam Vir, 43Del Vir
 43Del Vir, 47Eps Vir
 43Del Vir, 79Zet Vir
 79Zet Vir, 67Alp Vir
 67Alp Vir, 51The Vir
 51The Vir, 29Gam Vir
 79Zet Vir, 93Tau Vir
 93Tau Vir,109    Vir
 67Alp Vir, 98Kap Vir
 98Kap Vir, 99Iot Vir
 99Iot Vir,107Mu  Vir
   Alp Vol,   Bet Vol
   Bet Vol,   Eps Vol
   Eps Vol,   Del Vol
   Del Vol,   Gam1Vol
   Gam1Vol,   Zet Vol
   Zet Vol,   Eps Vol
 13    Vul,  6Alp Vul
  6Alp Vul,  1    Vul
 63The1Ser, 58Eta Ser
 58Eta Ser, 56Omi Ser
 56Omi Ser, 55Xi  Ser
 55Xi  Ser, 53Nu  Ser
